top - 15:14:08 up 40 min,  0 users,  load average: 0.85, 3.14, 5.16
Tasks: 382 total,   1 running, 381 sleeping,   0 stopped,   0 zombie
%Cpu(s):  6.3 us,  4.8 sy,  0.0 ni, 87.4 id,  0.0 wa,  0.0 hi,  1.5 si,  0.0 st
MiB Mem :  64306.6 total,  57925.5 free,   2678.1 used,   3703.0 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.  60917.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   8983 root      20   0 1536360  48928  39076 S   0.0   0.1   0:00.22 calico-+
   8986 root      20   0 1758068  53316  41932 S   0.0   0.1   0:00.28 calico-+
   9255 1337      20   0  186128  60656  38124 S   0.0   0.1   3:20.41 envoy
   9257 1337      20   0  198420  73252  38316 S   0.0   0.1   6:00.79 envoy
   9454 1337      20   0  184084  57352  37676 S   0.0   0.1   1:13.72 envoy
   9489 1337      20   0  185108  59164  38196 S   0.0   0.1   1:38.97 envoy
   9498 1337      20   0  183124  56840  38228 S   0.0   0.1   0:39.92 envoy
   9506 root      20   0    1768      4      0 S   0.0   0.0   0:00.58 bird6
   9513 root      20   0    1888   1388   1236 S   0.0   0.0   0:00.59 bird
  11566 root      20   0 1238096  13716  10004 S   0.0   0.0   0:00.30 contain+
  11592 65535     20   0    1012      4      0 S   0.0   0.0   0:00.03 pause
  11723 root      20   0 1238352  14096  10260 S   0.0   0.0   0:01.56 contain+
  15558 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  18051 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  18052 root      20   0       0      0      0 I   0.0   0.0   0:00.27 kworker+
  18055 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  18056 root      20   0       0      0      0 I   0.0   0.0   0:00.35 kworker+
  18428 root      20   0 1238096  13912  10264 S   0.0   0.0   0:00.25 contain+
  18455 65535     20   0    1012      4      0 S   0.0   0.0   0:00.03 pause
  18822 root      20   0 1238608  13784  10324 S   0.0   0.0   0:17.92 contain+
  18845 root      20   0  726904  29096  13996 S   0.0   0.0   3:59.83 server
  18884 root      20   0 1238352  13920  10260 S   0.0   0.0   0:01.47 contain+
  18908 1337      20   0  757032  45136  30688 S   0.0   0.1   0:06.84 pilot-a+
  18947 1337      20   0  197392  71716  37988 S   0.0   0.1   6:07.95 envoy
  20920 root      20   0 1238352  13500   9884 S   0.0   0.0   0:00.22 contain+
  20943 65535     20   0    1012      4      0 S   0.0   0.0   0:00.03 pause
  21150 root      20   0       0      0      0 I   0.0   0.0   0:00.11 kworker+
  21188 root      20   0 1238608  13908  10328 S   0.0   0.0   0:15.88 contain+
  21212 root      20   0  726648  28424  14160 S   0.0   0.0   3:24.75 server
  21247 root      20   0 1238352  13860   9808 S   0.0   0.0   0:01.48 contain+
  21300 1337      20   0  757288  46708  31748 S   0.0   0.1   0:06.68 pilot-a+
  21351 1337      20   0  197396  71248  38052 S   0.0   0.1   5:28.61 envoy
  23114 root      20   0       0      0      0 I   0.0   0.0   0:00.33 kworker+
  23479 root      20   0 1238096  13556  10140 S   0.0   0.0   0:00.21 contain+
  23506 65535     20   0    1012      4      0 S   0.0   0.0   0:00.03 pause
  23794 root      20   0 1238352  14376  10264 S   0.0   0.0   0:17.49 contain+
  23818 root      20   0  726904  28888  14024 S   0.0   0.0   3:39.08 server
  23854 root      20   0 1238608  13884   9968 S   0.0   0.0   0:01.48 contain+
  23877 1337      20   0  757288  47500  32112 S   0.0   0.1   0:07.63 pilot-a+
  23913 1337      20   0  198416  72900  38128 S   0.0   0.1   5:49.84 envoy
  25251 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  25252 root      20   0       0      0      0 I   0.0   0.0   0:00.22 kworker+
  25773 root      20   0 1238352  13664  10136 S   0.0   0.0   0:00.22 contain+
  25799 65535     20   0    1012      4      0 S   0.0   0.0   0:00.03 pause
  26152 root      20   0 1238352  14376  10376 S   0.0   0.0   0:18.86 contain+
